,Open,High,Low,Close,Volume,Adj Close
189,926.75,930.307007,923.030029,927.960022,1082300,927.960022
190,929.059998,931.700012,926.5,929.359985,1032200,929.359985
191,927.090027,935.814026,925.609985,926.789978,1061600,926.789978
192,920.609985,925.97998,917.25,922.900024,1192100,922.900024
193,917.549988,919.26001,906.130005,907.23999,1824000,907.23999
194,907.969971,917.780029,905.580017,914.390015,1206800,914.390015
195,922.530029,924.66803,918.190002,922.669983,1064500,922.669983
196,924.22998,926.549988,919.820007,922.219971,883400,922.219971
197,925.289978,932.700012,923.445007,926.960022,1006700,926.960022
198,925.780029,926.859985,910.97998,910.97998,1277200,910.97998
199,910.309998,915.275024,907.153992,910.669983,1342700,910.669983
200,910,913,903.400024,906.659973,943400,906.659973
201,912.719971,925.859985,911.474976,924.690002,1166700,924.690002
202,921.929993,929.929993,919.359985,927,1090200,927
203,928.659973,930.840027,915.5,921.280029,1270300,921.280029
204,923.48999,925.554993,915.5,915.890015,1053400,915.890015
205,916,919.244995,911.869995,913.809998,1086500,913.809998
206,905.099976,923.330017,905,921.289978,1185600,921.289978
207,920.049988,930.81897,919.650024,929.570007,1301200,929.570007
208,931.76001,941.97998,931.76001,939.330017,1582600,939.330017
209,941.130005,942.47998,935.150024,937.340027,947400,937.340027
210,933.080017,937,921.960022,928.450012,1326400,928.450012
211,930.150024,930.914978,919.27002,927.809998,1527700,927.809998
212,931.72998,936.409973,923.619995,935.950012,1212700,935.950012
213,936.48999,936.98999,924.880005,926.5,1011500,926.5
214,934.25,938.380005,926.919983,929.080017,1267000,929.080017
215,932.590027,933.47998,923.861023,932.070007,1134400,932.070007
216,930.659973,937.25,929.859985,935.090027,1102600,935.090027
217,931.25,932.77002,924,925.109985,1397600,925.109985
218,924.659973,926.48999,916.359985,920.289978,2505400,920.289978
219,920.01001,922.080017,910.599976,915,1306900,915
220,917.419983,922.419983,912.549988,921.809998,936700,921.809998
221,922.97998,933.880005,922,931.580017,1669800,931.580017
222,933,936.530029,923.830017,932.450012,1290600,932.450012
223,927.75,934.72998,926.47998,928.530029,1052700,928.530029
224,925.450012,926.400024,909.700012,920.969971,1856800,920.969971
225,923.719971,930.820007,921.140015,924.859985,1666900,924.859985
226,927.73999,949.900024,927.73999,944.48999,2239400,944.48999
227,941.359985,950.690002,940.549988,949.5,1020300,949.5
228,952,959.786011,951.51001,959.109985,1581000,959.109985
229,959.97998,962.539978,947.840027,953.27002,1283400,953.27002
230,954,958,949.140015,957.789978,888300,957.789978
231,957,960.390015,950.690002,951.679993,952400,951.679993
232,955.48999,970.909973,955.179993,969.960022,1213800,969.960022
233,966.700012,979.460022,963.359985,978.890015,1173900,978.890015
234,980,985.424988,976.109985,977,891400,977
235,980,981.570007,966.080017,972.599976,968400,972.599976
236,973.719971,990.710022,972.25,989.25,1693300,989.25
237,987.450012,994.119995,985,987.830017,1262400,987.830017
238,992,997.210022,989,989.679993,1169800,989.679993
239,992.099976,993.906982,984,992,910500,992
240,990.289978,996.440002,988.590027,992.179993,1290200,992.179993
241,991.77002,996.719971,986.974976,992.809998,1057600,992.809998
242,986,988.880005,978.390015,984.450012,1313600,984.450012
243,989.440002,991,984.580017,988.200012,1183200,988.200012
244,989.52002,989.52002,966.119995,968.450012,1478400,968.450012
245,970,972.22998,961,970.539978,1212200,970.539978
246,968.369995,976.090027,960.52002,973.330017,1211300,973.330017
247,980,987.599976,972.200012,972.559998,2042100,972.559998
248,1009.190002,1048.390015,1008.200012,1019.27002,5167700,1019.27002
249,1014,1024.969971,1007.5,1017.109985,2085100,1017.109985
250,1015.219971,1024,1010.419983,1016.640015,1330700,1016.640015
251,1017.210022,1029.670044,1016.950012,1025.5,1373444,1025.5
