,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,label
128,104.37,105.125,100,101.75,12927900,102.938
129,102.07,104.938,101.625,104.688,9014000,103.938
130,104.06,104.938,102.875,103.125,4212000,105.5
131,102.63,104,101,102.375,5613500,102.875
132,103.19,105.875,102.625,104.625,5541500,104
133,104.8,105.938,102,102.938,5669600,117
134,103.125,104.875,103.125,103.938,4007100,114.438
135,104.44,107.875,104.188,105.5,6615500,112.5
136,103.5,104.813,102.625,102.875,6387400,111.75
137,101.76,105.063,101,104,7429500,109.875
138,111.32,117.813,110.25,117,22960600,110.313
139,116.29,117,113.75,114.438,8910500,111.813
140,113.44,115.625,111.625,112.5,6774400,112.25
141,112.57,113.375,110.25,111.75,5566600,110.563
142,110.33,112.375,108.875,109.875,6482800,114.688
143,109.87,111.5,109.313,110.313,4042400,116.063
144,110.45,112.5,108.875,111.813,5352400,115.875
145,110.5,113.688,110.063,112.25,5113500,116.313
146,111.32,112.438,110.25,110.563,2986500,119
147,111,114.875,110.75,114.688,5876000,118.813
148,112.32,116.5,112.313,116.063,5561400,119.75
149,115.3,116.5,114.313,115.875,4460500,120.625
150,115.92,119,115.813,116.313,5910000,123.25
151,115.69,119.625,115.563,119,5734800,122
152,119,120.813,118.813,118.813,6585300,122.438
153,118.17,120.25,117.875,119.75,5484100,122.5
154,119.16,124.75,118.75,120.625,6142400,120.188
155,119.41,123.688,119.313,123.25,4949400,121.438
156,121.46,122.625,120.75,122,4378100,121.375
157,120.47,122.938,119.5,122.438,5942300,123.25
158,119.75,122.813,119.5,122.5,4338400,124.813
159,121.77,123.375,120,120.188,4126500,129
160,120.47,122.188,120.063,121.438,3234200,130
161,121.19,122.188,121,121.375,2769400,132.875
162,120.31,123.75,119.875,123.25,4251100,130.313
163,123,125.438,122.688,124.813,5988300,132.031
164,124.31,129.875,124.25,129,8279000,133.625
165,129.88,133.188,129.75,130,8534300,131.188
166,131.5,134.25,131,132.875,6040000,131.438
167,130.11,131.5,129.563,130.313,4928800,133.344
168,131.88,134.188,131.688,132.031,5469500,129.5
169,133.06,134.938,132.625,133.625,5776300,123.625
170,132.16,133.313,130.813,131.188,4112100,125
171,130.88,134.875,130.375,131.438,6473000,127.125
172,131.88,134.5,131.875,133.344,4622800,127.875
173,131.85,132.938,129.375,129.5,4993700,125
174,127.25,128.25,123.625,123.625,7617500,123.25
175,124.2,126.875,124.063,125,5001700,124.75
176,123.12,128.813,122.75,127.125,5417500,124.375
177,127.37,129.938,126.313,127.875,4410400,122
178,126.19,127.25,124.813,125,5451700,124
179,124.63,126,123.063,123.25,3929300,121.75
180,122.75,126.25,122.563,124.75,3341700,119.375
181,124.07,126.563,123.5,124.375,4608200,118
182,123.58,126.688,121,122,4201200,116
183,122.39,124.313,121,124,5900500,114.75
184,123.89,126.625,121,121.75,4280400,117.813
185,119.41,121.875,118.375,119.375,6199900,110.563
186,119.47,120.313,115.5,118,5937900,114.375
187,116.8,118.875,115,116,5285800,113.188
188,114.93,116.938,110.25,114.75,9585300,116
189,112.62,119.625,112.62,117.813,8868700,117.938
190,118.29,119.438,110,110.563,11735800,114.875
191,109.83,114.875,108.563,114.375,11647200,112
192,113.25,114.563,111.563,113.188,5512000,103.125
193,113.44,116.125,112.75,116,6108400,109.125
194,115.37,119.375,114.313,117.938,4898000,111.125
195,116.05,117.125,112.438,114.875,5596300,113
196,111.32,113.375,107.5,112,8775100,95.5
197,113.69,114.375,103.125,103.125,9666300,96.438
198,104.19,110.438,104.188,109.125,9089400,94.75
