,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,label
61,1322.69995,1326.41003,1326.41003,1370.18005,1370.18005,4745120000,1365.54004
62,1370.18005,1369.95996,1361.55005,1377.94995,1367.5300300000001,4320440000,1354.48999
63,1367.5300300000001,1365.68994,1358.68005,1375.66003,1369.31006,3920100000,1360.55005
64,1369.31006,1369.8499800000002,1362.82996,1380.91003,1370.4000199999998,3703100000,1332.82996
65,1370.4000199999998,1373.68994,1369.02002,1386.73999,1372.54004,3747780000,1328.31995
66,1372.54004,1370.16003,1360.62,1370.16003,1365.54004,3602500000,1334.43005
67,1365.54004,1365.5,1349.9699699999999,1368.39001,1354.48999,3556670000,1364.70996
68,1354.48999,1355.37,1350.10999,1367.23999,1360.55005,3686150000,1365.56006
69,1360.55005,1357.97998,1331.20996,1357.97998,1332.82996,3723790000,1390.32996
70,1332.82996,1332.19995,1326.16003,1335.64001,1328.31995,3565020000,1388.17004
71,1328.31995,1331.7199699999999,1324.3499800000002,1337.7199699999999,1334.43005,3581230000,1375.93994
72,1334.43005,1337.02002,1337.02002,1365.48999,1364.70996,4260370000,1379.93005
73,1364.70996,1363.37,1357.25,1368.5999800000002,1365.56006,3713880000,1388.81995
74,1365.56006,1369.0,1369.0,1395.9000199999998,1390.32996,4222380000,1397.83997
75,1390.32996,1387.7199699999999,1379.25,1390.22998,1388.17004,3420570000,1396.37
76,1388.17004,1386.43005,1369.83997,1386.43005,1375.93994,3821900000,1390.93994
77,1375.93994,1378.4000199999998,1372.23999,1387.87,1379.93005,4103610000,1385.58997
78,1379.93005,1380.52002,1371.08997,1397.7199699999999,1388.81995,4461660000,1409.33997
79,1388.81995,1387.88,1379.97998,1399.10999,1397.83997,3891150000,1413.9000199999998
80,1397.83997,1397.95996,1394.4000199999998,1402.9000199999998,1396.37,3607000000,1407.48999
81,1396.37,1395.60999,1386.69995,1397.0,1390.93994,3815320000,1418.26001
82,1390.93994,1391.2199699999999,1384.25,1404.56995,1385.58997,4508890000,1392.56995
83,1385.58997,1385.9699699999999,1383.06995,1410.06995,1409.33997,4448780000,1397.68005
84,1409.33997,1409.16003,1406.25,1422.7199699999999,1413.9000199999998,3953030000,1388.2800300000001
85,1413.9000199999998,1415.33997,1404.37,1415.33997,1407.48999,3410090000,1403.57996
86,1407.48999,1405.5999800000002,1397.0999800000002,1421.56995,1418.26001,3924100000,1403.04004
87,1418.26001,1417.48999,1391.16003,1419.54004,1392.56995,4075860000,1408.66003
88,1392.56995,1394.29004,1389.39001,1402.3499800000002,1397.68005,3827550000,1423.56995
89,1397.68005,1394.9000199999998,1384.10999,1394.9000199999998,1388.2800300000001,3518620000,1425.3499800000002
90,1388.2800300000001,1389.4000199999998,1386.19995,1404.06006,1403.57996,3370630000,1426.63
91,1403.57996,1404.4000199999998,1396.26001,1406.30005,1403.04004,4018590000,1413.4000199999998
92,1403.04004,1405.6500199999998,1405.6500199999998,1420.18994,1408.66003,3979370000,1390.70996
93,1408.66003,1408.35999,1406.87,1424.4000199999998,1423.56995,3836480000,1394.3499800000002
94,1423.56995,1423.89001,1414.3499800000002,1425.81995,1425.3499800000002,3842590000,1375.93005
95,1425.3499800000002,1425.2800300000001,1421.63,1440.23999,1426.63,3683970000,1385.3499800000002
96,1426.63,1424.48999,1409.08997,1424.48999,1413.4000199999998,3854320000,1390.83997
97,1413.4000199999998,1414.06006,1388.81006,1419.12,1390.70996,4517990000,1398.26001
98,1390.70996,1390.82996,1390.22998,1399.06995,1394.3499800000002,3955960000,1400.38
99,1394.3499800000002,1392.19995,1373.7199699999999,1392.19995,1375.93005,3516380000,1385.67004
100,1375.93005,1375.9699699999999,1373.06995,1387.4000199999998,1385.3499800000002,3588860000,1377.6500199999998
101,1385.3499800000002,1386.54004,1378.16003,1391.25,1390.83997,3927240000,1377.19995
102,1390.83997,1390.5,1388.58997,1406.31995,1398.26001,3894440000,1404.05005
103,1398.26001,1398.35999,1398.07996,1404.45996,1400.38,3845630000,1360.68005
104,1400.38,1399.62,1377.79004,1399.62,1385.67004,3714320000,1361.76001
